"island","site","transect","top_color","bowl_color","order","abundance","dateout","datecoll","duration","order_abbrev"
"saipan","ladta","L2","r","r","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L3","b","y","Lepidoptera",6,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L3","y","y","Crabronidae",6,2018-01-17,2018-01-20,3,"Crabr"
"guam","anao","L1","y","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"guam","anao","L1","r","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"guam","anao","L1","r","y","Diptera",5,2018-01-12,2018-01-15,3,"Dipte"
"guam","anao","L1","r","y","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"guam","anao","L2","w","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L2","w","y","Lepidoptera",5,2018-01-12,2018-01-15,3,"Lepid"
"guam","race","L3","y","y","Apoidea",5,2018-01-12,2018-01-15,3,"Apoid"
"guam","race","L3","b","w","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"guam","sblas","L1","w","y","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"guam","sblas","L1","w","b","Formicidae",5,2018-01-12,2018-01-15,3,"Formi"
"guam","sblas","L3","w","y","Diptera",5,2018-01-12,2018-01-15,3,"Dipte"
"guam","sblas","L3","w","y","Lepidoptera",5,2018-01-12,2018-01-15,3,"Lepid"
"saipan","forbia","L2","b","y","Hemiptera",5,2018-01-17,2018-01-20,3,"Hemip"
"saipan","forbia","L2","w","y","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","r","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L3","r","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L3","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","y","b","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbig","L1","b","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","r","y","Hemiptera",5,2018-01-17,2018-01-20,3,"Hemip"
"saipan","forbig","L2","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L3","r","b","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L1","r","w","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","y","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L2","b","w","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladta","L2","w","w","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","r","b","Coleoptera",5,2018-01-17,2018-01-20,3,"Coleo"
"saipan","ladtg","L1","b","w","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L1","w","y","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L2","b","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L2","b","w","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L2","w","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L2","w","b","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","r","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","r","y","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","b","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","b","b","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","y","y","Apoidea",5,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","y","r","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","y","b","Diptera",5,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L2","w","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L2","y","r","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L2","w","w","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L2","w","b","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L2","y","y","Lepidoptera",5,2018-01-17,2018-01-20,3,"Lepid"
"guam","anao","L1","r","b","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"guam","anao","L1","r","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"guam","nblas","L2","r","w","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"guam","nblas","L3","y","y","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L1","y","w","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"guam","race","L1","y","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L1","y","w","Isoptera",4,2018-01-12,2018-01-15,3,"Isopt"
"guam","race","L2","y","r","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"guam","race","L2","y","w","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"guam","race","L2","w","r","Diptera",4,2018-01-12,2018-01-15,3,"Dipte"
"guam","race","L2","w","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L3","y","y","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L3","r","b","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"guam","riti","L3","b","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"guam","sblas","L3","r","r","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"guam","sblas","L3","r","w","Formicidae",4,2018-01-12,2018-01-15,3,"Formi"
"saipan","forbia","L1","b","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L1","w","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","y","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","b","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L2","w","y","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L2","w","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L3","r","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L3","y","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","y","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","y","w","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbig","L1","b","b","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","r","w","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbig","L1","r","r","Hemiptera",4,2018-01-17,2018-01-20,3,"Hemip"
"saipan","forbig","L2","b","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L2","w","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L2","r","y","Crabronidae",4,2018-01-17,2018-01-20,3,"Crabr"
"saipan","forbig","L3","r","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L3","y","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L1","b","y","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L2","y","y","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","y","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","b","y","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladta","L2","b","y","Crabronidae",4,2018-01-17,2018-01-20,3,"Crabr"
"saipan","ladta","L2","b","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladta","L2","b","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","b","r","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladta","L2","r","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladta","L2","r","r","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L1","b","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L1","b","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L1","b","y","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L1","r","y","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L1","r","w","Coleoptera",4,2018-01-17,2018-01-20,3,"Coleo"
"saipan","ladtg","L2","y","y","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L2","y","y","Hemiptera",4,2018-01-17,2018-01-20,3,"Hemip"
"saipan","ladtg","L2","w","y","Coleoptera",4,2018-01-17,2018-01-20,3,"Coleo"
"saipan","ladtg","L2","r","r","Hemiptera",4,2018-01-17,2018-01-20,3,"Hemip"
"saipan","ladtg","L3","r","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","ladtg","L3","r","b","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","b","b","Crabronidae",4,2018-01-17,2018-01-20,3,"Crabr"
"saipan","ladtg","L3","b","y","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","b","r","Crabronidae",4,2018-01-17,2018-01-20,3,"Crabr"
"saipan","ladtg","L3","y","r","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","y","b","Apoidea",4,2018-01-17,2018-01-20,3,"Apoid"
"saipan","ladtg","L3","w","w","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","ladtg","L3","w","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L1","w","b","Diptera",4,2018-01-17,2018-01-20,3,"Dipte"
"saipan","mtrl","L1","w","r","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"saipan","mtrl","L1","r","w","Lepidoptera",4,2018-01-17,2018-01-20,3,"Lepid"
"guam","anao","L1","w","y","Crabronidae",3,2018-01-12,2018-01-15,3,"Crabr"
"guam","anao","L1","r","r","Apoidea",3,2018-01-12,2018-01-15,3,"Apoid"
"guam","nblas","L1","r","y","Formicidae",3,2018-01-12,2018-01-15,3,"Formi"
"guam","nblas","L1","y","w","Diptera",3,2018-01-12,2018-01-15,3,"Dipte"
"guam","nblas","L1","w","r","Formicidae",3,2018-01-12,2018-01-15,3,"Formi"
"guam","nblas","L1","w","w","Formicidae",3,2018-01-12,2018-01-15,3,"Formi"
"guam","nblas","L2","r","y","Diptera",3,2018-01-12,2018-01-15,3,"Dipte"
"guam","nblas","L3","y","y","Diptera",3,2018-01-12,2018-01-15,3,"Dipte"
"guam","race","L1","r","b","Formicidae",3,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L2","b","y","Formicidae",3,2018-01-12,2018-01-15,3,"Formi"
"guam","race","L3","w","y","Diptera",3,2018-01-12,2018-01-15,3,"Dipte"
"guam","race","L3","b","w","Diptera",3,2018-01-12,2018-01-15,3,"Dipte"
"guam","race","L3","r","w","Formicidae",3,2018-01-12,2018-01-15,3,"Formi"
"guam","riti","L1","y","y","Partial",3,2018-01-12,2018-01-15,3,"Parti"
"guam","riti","L1","y","r","Formicidae",3,2018-01-12,2018-01-15,3,"Formi"
"guam","riti","L1","r","r","Partial",3,2018-01-12,2018-01-15,3,"Parti"
"guam","riti","L2","w","b","Isoptera",3,2018-01-12,2018-01-15,3,"Isopt"
"guam","riti","L3","y","b","Partial",3,2018-01-12,2018-01-15,3,"Parti"
"guam","riti","L3","y","y","Partial",3,2018-01-12,2018-01-15,3,"Parti"
"guam","riti","L3","w","y","Isoptera",3,2018-01-12,2018-01-15,3,"Isopt"
"guam","sblas","L3","w","y","Formicidae",3,2018-01-12,2018-01-15,3,"Formi"
"saipan","forbia","L1","r","r","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L1","r","w","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L1","w","r","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","y","y","Formicidae",3,2018-01-17,2018-01-20,3,"Formi"
"saipan","forbia","L2","y","y","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","b","y","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","b","b","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","b","r","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","w","y","Apoidea",3,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbia","L2","w","b","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L2","r","b","Diptera",3,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L3","r","y","Diptera",3,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbia","L3","w","y","Apoidea",3,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbia","L3","y","y","Apoidea",3,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbia","L3","y","y","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L3","y","w","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbia","L3","y","r","Diptera",3,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","y","y","Araneae",3,2018-01-17,2018-01-20,3,"Arane"
"saipan","forbig","L1","b","w","Apoidea",3,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbig","L1","r","w","Crabronidae",3,2018-01-17,2018-01-20,3,"Crabr"
"saipan","forbig","L1","b","r","Crabronidae",3,2018-01-17,2018-01-20,3,"Crabr"
"saipan","forbig","L1","y","r","Diptera",3,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L1","b","y","Apoidea",3,2018-01-17,2018-01-20,3,"Apoid"
"saipan","forbig","L1","b","y","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","w","y","Coleoptera",3,2018-01-17,2018-01-20,3,"Coleo"
"saipan","forbig","L1","w","y","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","r","y","Lepidoptera",3,2018-01-17,2018-01-20,3,"Lepid"
"saipan","forbig","L1","r","b","Diptera",3,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L2","y","y","Diptera",3,2018-01-17,2018-01-20,3,"Dipte"
"saipan","forbig","L2","b","y","Hemiptera",3,2018-01-17,2018-01-20,3,"Hemip"
