"island","site","transect","top_color","bowl_color","order","abundance","date traps out","date traps coll"
"Guam","Anao","L1","y","r","Coleoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","r","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Formicidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","b","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Diptera",4,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Formicidae",5,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Crabronidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Lepidoptera",2,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","b","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Crabronidae",3,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","y","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Diptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Formicidae",4,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","w","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Coleoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","b","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Diptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Coleoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Isoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","r","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Formicidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","b","w","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Coleoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","y","y","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Diptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Formicidae",2,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Apoidea",2,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Lepidoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","w","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Diptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Crabronidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","w","r","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Diptera",6,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Coleoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Apoidea",3,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Lepidoptera",2,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Araneae",1,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","r","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Diptera",5,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Formicidae",5,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Crabronidae",2,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Lepidoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","other",0,2018-01-12,2018-01-15
"Guam","Anao","L1","r","y","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Araneae",1,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","y","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Formicidae",9,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Crabronidae",1,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Isoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Trichoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","b","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Formicidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","b","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Formicidae",2,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Lepidoptera",2,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","y","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Formicidae",2,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","r","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Coleoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Formicidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","w","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Diptera",1,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Formicidae",2,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Crabronidae",1,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","y","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Formicidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","b","w","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Formicidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","b","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","y","w","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Diptera",1,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Coleoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Formicidae",1,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Lepidoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","r","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Coleoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Formicidae",5,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Apoidea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Crabronidae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Lepidoptera",1,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Blattodea",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Araneae",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Isoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Trichoptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","other",0,2018-01-12,2018-01-15
"Guam","Anao","L2","w","b","Partial",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","y","Diptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","y","Hemiptera",0,2018-01-12,2018-01-15
"Guam","Anao","L2","r","y","Coleoptera",0,2018-01-12,2018-01-15
