"","treatment","Position","SiteID","time","weight"
"71","strips","top","WHI","1",3.10650861435279
"72","strips","top","WHI","2",5.10120125099822
"73","control","bottom","ARM","1",8.36200306205359
"74","control","bottom","ARM","2",3.77315800207277
"75","control","bottom","EIA","1",6.07887903065044
"76","control","bottom","EIA","2",5.12640869371931
"77","strips","bottom","RHO","1",4.46561170079899
"78","strips","bottom","RHO","2",5.88675173264604
"79","strips","bottom","WHI","1",7.23053928477343
"80","strips","bottom","WHI","2",4.984047317277
"81","control","middle","ARM","1",6.2040756572078
"82","control","middle","ARM","2",6.18112620119463
"83","control","middle","EIA","1",3.96948460337349
"84","control","middle","EIA","2",3.77494303120679
"85","strips","middle","RHO","1",3.74942713082669
"86","strips","middle","RHO","2",5.31260374660873
"87","strips","middle","WHI","1",4.26745314880304
"88","strips","middle","WHI","2",5.1499287886408
"89","control","top","ARM","1",3.37745647123639
"90","control","top","ARM","2",4.55732072365576
"91","control","top","EIA","1",5.01680732231364
"92","control","top","EIA","2",5.36015905384218
"93","strips","top","RHO","1",4.52958679018011
"94","strips","top","RHO","2",4.61986147459847
"95","strips","top","WHI","1",3.69730688003257
"96","strips","top","WHI","2",3.26766381034784
"97","control","bottom","ARM","1",4.97422637473004
"98","control","bottom","ARM","2",4.35545200174779
"99","control","bottom","EIA","1",3.33498709346064
"100","control","bottom","EIA","2",3.84461199779632
"101","strips","bottom","RHO","1",3.26390565044524
"102","strips","bottom","RHO","2",5.71480048460819
"103","strips","bottom","WHI","1",6.15100744783456
"104","strips","bottom","WHI","2",4.23235573969432
"105","control","middle","ARM","1",6.98141672197931
"106","control","middle","ARM","2",4.9176840082449
"107","control","middle","EIA","1",6.22359754535352
"108","control","middle","EIA","2",4.14599050215083
"109","strips","middle","RHO","1",3.5040014189008
"110","strips","middle","RHO","2",4.05429446396145
"111","strips","middle","WHI","1",6.63172146624134
"112","strips","middle","WHI","2",3.49861352913748
"113","control","top","ARM","1",3.03943443709003
"114","control","top","ARM","2",3.81099525610317
"115","control","top","EIA","1",3.6265383428286
"116","control","top","EIA","2",5.76062277961299
"117","strips","top","RHO","1",4.1159727195504
"118","strips","top","RHO","2",4.1416055009767
"119","strips","top","WHI","1",3.88828114557144
"120","strips","top","WHI","2",7.29348186924852
"121","control","bottom","ARM","1",4.04941284864691
"122","control","bottom","ARM","2",2.79260795591641
"123","control","bottom","EIA","1",2.99612187938505
"124","control","bottom","EIA","2",4.79524435145567
"125","strips","bottom","RHO","1",4.35974309658784
"126","strips","bottom","RHO","2",3.24316899268504
"127","strips","bottom","WHI","1",5.9883283747872
"128","strips","bottom","WHI","2",5.85565815249947
"129","control","middle","ARM","1",6.70972726740495
"130","control","middle","ARM","2",4.909166924755
"131","control","middle","EIA","1",3.95397171599908
"132","control","middle","EIA","2",6.89242045931395
"133","strips","middle","RHO","1",4.55291583164051
"134","strips","middle","RHO","2",5.14702920777122
"135","strips","middle","WHI","1",7.54264733791817
"136","strips","middle","WHI","2",5.87012447434977
"137","control","top","ARM","1",0.916998900461294
"138","control","top","ARM","2",3.59646985588823
"139","control","top","EIA","1",4.33021171630147
"140","control","top","EIA","2",5.96837404083949
"141","strips","top","RHO","1",4.56736024385505
"142","strips","top","RHO","2",5.59279732608126
"143","strips","top","WHI","1",4.19479970660602
"144","strips","top","WHI","2",5.01256933542811
"145","control","bottom","ARM","1",5.36943453023027
"146","control","bottom","ARM","2",4.70229581874171
"147","control","bottom","EIA","1",7.87021179884678
"148","control","bottom","EIA","2",7.02024816389842
"149","strips","bottom","RHO","1",5.11434198937722
"150","strips","bottom","RHO","2",6.52357841632972
"151","strips","bottom","WHI","1",5.22666145500742
"152","strips","bottom","WHI","2",3.69278841845944
"153","control","middle","ARM","1",6.42276698743947
"154","control","middle","ARM","2",5.26904948267576
"155","control","middle","EIA","1",4.55068250853326
"156","control","middle","EIA","2",5.04620573991909
"157","strips","middle","RHO","1",3.26504481283837
"158","strips","middle","RHO","2",5.09681969594737
"159","strips","middle","WHI","1",6.52655545305583
"160","strips","middle","WHI","2",6.48670366052391
"161","control","top","ARM","1",6.30747714717381
"162","control","top","ARM","2",5.91630891036747
"163","control","top","EIA","1",1.61420346074251
"164","control","top","EIA","2",4.25604399830668
"165","strips","top","RHO","1",6.21149494573468
"166","strips","top","RHO","2",4.70253504338461
"167","strips","top","WHI","1",2.99339452414931
"168","strips","top","WHI","2",4.71807462098114
"169","control","bottom","ARM","1",6.8168213594448
"170","control","bottom","ARM","2",3.86701932850858
"171","control","bottom","EIA","1",1.62473072260633
"172","control","bottom","EIA","2",4.84036538031009
"173","strips","bottom","RHO","1",6.24663679850696
"174","strips","bottom","RHO","2",4.96614818432243
"175","strips","bottom","WHI","1",6.9964579423426
"176","strips","bottom","WHI","2",6.85384443570581
"177","control","middle","ARM","1",3.91767693823155
"178","control","middle","ARM","2",6.26469817377067
"179","control","middle","EIA","1",3.99866422061362
"180","control","middle","EIA","2",4.93032186501446
"181","strips","middle","RHO","1",3.28691365549559
"182","strips","middle","RHO","2",3.89571028011447
"183","strips","middle","WHI","1",6.57445362776649
"184","strips","middle","WHI","2",5.00562263709737
"185","control","top","ARM","1",6.02800717248121
"186","control","top","ARM","2",7.17484049294483
"187","control","top","EIA","1",5.9469021528227
"188","control","top","EIA","2",4.601781058094
"189","strips","top","RHO","1",3.74276896001142
"190","strips","top","RHO","2",3.77126985904458
"191","strips","top","WHI","1",3.97892847639758
"192","strips","top","WHI","2",5.57656724415488
"193","control","bottom","ARM","1",6.4664297443533
"194","control","bottom","ARM","2",4.49290707318803
"195","control","bottom","EIA","1",3.41094499598408
"196","control","bottom","EIA","2",5.64286141133702
"197","strips","bottom","RHO","1",5.67591524132557
"198","strips","bottom","RHO","2",6.04921903944487
"199","strips","bottom","WHI","1",5.39723836282587
"200","strips","bottom","WHI","2",5.30375649418957
"201","control","middle","ARM","1",5.59953006880315
"202","control","middle","ARM","2",3.99617456136818
"203","control","middle","EIA","1",5.09689726703111
"204","control","middle","EIA","2",3.45505764622427
"205","strips","middle","RHO","1",3.10466389725774
"206","strips","middle","RHO","2",6.35433043839214
"207","strips","middle","WHI","1",4.2821512236397
"208","strips","middle","WHI","2",5.96474352944971
"209","control","top","ARM","1",7.2508263978684
"210","control","top","ARM","2",6.17422130215825
"211","control","top","EIA","1",6.78998525055696
"212","control","top","EIA","2",6.42296785352983
"213","strips","top","RHO","1",5.34802257434939
"214","strips","top","RHO","2",3.98859727240038
"215","strips","top","WHI","1",3.57142018001747
"216","strips","top","WHI","2",7.73737801388863
"217","control","bottom","ARM","1",6.46623964637789
"218","control","bottom","ARM","2",5.60438531745064
"219","control","bottom","EIA","1",2.3122721800736
"220","control","bottom","EIA","2",6.61473327429176
"221","strips","bottom","RHO","1",3.09873149075175
"222","strips","bottom","RHO","2",4.37905173267762
"223","strips","bottom","WHI","1",3.61863992358461
"224","strips","bottom","WHI","2",4.61958360236716
"225","control","middle","ARM","1",3.34576123340845
"226","control","middle","ARM","2",4.05306337767046
"227","control","middle","EIA","1",5.47552523308329
"228","control","middle","EIA","2",4.09207176802655
"229","strips","middle","RHO","1",4.79906005963086
"230","strips","middle","RHO","2",4.87737569841693
"231","strips","middle","WHI","1",3.97060335420303
"232","strips","middle","WHI","2",3.18244256981972
"233","control","top","ARM","1",4.73697868533985
"234","control","top","ARM","2",2.70153913699235
"235","control","top","EIA","1",4.85635589228957
"236","control","top","EIA","2",3.76293543396492
"237","strips","top","RHO","1",2.28779434615278
"238","strips","top","RHO","2",7.17297707045589
"239","strips","top","WHI","1",4.51944734641954
"240","strips","top","WHI","2",3.81936169250062
"241","control","bottom","ARM","1",4.61855079585148
"242","control","bottom","ARM","2",3.66981318777075
"243","control","bottom","EIA","1",2.80234469005272
"244","control","bottom","EIA","2",3.75921394672057
"245","strips","bottom","RHO","1",4.32596183936033
"246","strips","bottom","RHO","2",7.23534517925113
"247","strips","bottom","WHI","1",4.96228781394559
"248","strips","bottom","WHI","2",3.99332529952599
"249","control","middle","ARM","1",5.13317143969878
"250","control","middle","ARM","2",4.21269449600348
"251","control","middle","EIA","1",6.93412824051049
"252","control","middle","EIA","2",-0.204553818795603
"253","strips","middle","RHO","1",3.16480775809196
"254","strips","middle","RHO","2",7.32695714682546
"255","strips","middle","WHI","1",4.44169622963856
"256","strips","middle","WHI","2",5.30329705240045
"257","control","top","ARM","1",5.54998588164835
"258","control","top","ARM","2",5.28006827452891
"259","control","top","EIA","1",5.88507931082003
"260","control","top","EIA","2",6.83769469480671
"261","strips","top","RHO","1",3.51876526801118
"262","strips","top","RHO","2",5.06689253277056
"263","strips","top","WHI","1",4.26763121676334
"264","strips","top","WHI","2",2.91672564320841
"265","control","bottom","ARM","1",5.30842469786629
"266","control","bottom","ARM","2",5.59715709251616
"267","control","bottom","EIA","1",1.87485085736559
"268","control","bottom","EIA","2",5.13438377374015
"269","strips","bottom","RHO","1",2.76096248196246
"270","strips","bottom","RHO","2",3.58610386146307
"271","strips","bottom","WHI","1",4.61432786470085
"272","strips","bottom","WHI","2",3.54052005703802
"273","control","middle","ARM","1",6.76431117870068
"274","control","middle","ARM","2",5.08734014944208
"275","control","middle","EIA","1",5.7181809760744
"276","control","middle","EIA","2",4.67871355802711
"277","strips","middle","RHO","1",7.79618826586461
"278","strips","middle","RHO","2",7.17035580164457
"279","strips","middle","WHI","1",5.36625375725841
"280","strips","middle","WHI","2",4.29579205305357
"281","control","top","ARM","1",4.04895476288717
"282","control","top","ARM","2",6.02079299051382
"283","control","top","EIA","1",4.95729015348501
"284","control","top","EIA","2",5.98169166818208
"285","strips","top","RHO","1",7.44071769486109
"286","strips","top","RHO","2",2.14120053388491
"287","strips","top","WHI","1",4.55057688206241
"288","strips","top","WHI","2",6.38595162392297
"289","control","bottom","ARM","1",6.47459768648642
"290","control","bottom","ARM","2",6.49995201730311
"291","control","bottom","EIA","1",4.6266385567331
"292","control","bottom","EIA","2",6.55073917808784
"293","strips","bottom","RHO","1",4.9941598916828
"294","strips","bottom","RHO","2",4.0890366023152
"295","strips","bottom","WHI","1",3.93731651805467
"296","strips","bottom","WHI","2",5.85669870832535
"297","control","middle","ARM","1",2.65200450095121
"298","control","middle","ARM","2",4.38859191552526
"299","control","middle","EIA","1",4.96852378754116
"300","control","middle","EIA","2",3.51081643894832
"301","strips","middle","RHO","1",6.97128334727654
"302","strips","middle","RHO","2",8.47915139404549
"303","strips","middle","WHI","1",6.19119238831508
"304","strips","middle","WHI","2",6.57126368595415
"305","control","top","ARM","1",2.99013708778701
"306","control","top","ARM","2",4.95794578738898
"307","control","top","EIA","1",4.17986292133261
"308","control","top","EIA","2",4.67042334313196
"309","strips","top","RHO","1",4.50840491606824
"310","strips","top","RHO","2",3.18105627221674
"311","strips","top","WHI","1",3.79557948488545
"312","strips","top","WHI","2",2.66256947359736
"313","control","bottom","ARM","1",4.86258672760771
"314","control","bottom","ARM","2",2.58976053680198
"315","control","bottom","EIA","1",4.43846450576653
"316","control","bottom","EIA","2",3.70871477972747
"317","strips","bottom","RHO","1",5.36963447613713
"318","strips","bottom","RHO","2",4.61436577114865
"319","strips","bottom","WHI","1",3.91573699823008
"320","strips","bottom","WHI","2",7.31639663470972
"321","control","middle","ARM","1",3.76635151641905
"322","control","middle","ARM","2",3.53746314634939
"323","control","middle","EIA","1",4.77025221539002
"324","control","middle","EIA","2",6.1129418838305
"325","strips","middle","RHO","1",4.62440882879225
"326","strips","middle","RHO","2",3.78362569341038
"327","strips","middle","WHI","1",2.97143457094571
"328","strips","middle","WHI","2",4.56992531746176
"329","control","top","ARM","1",3.95776544713788
"330","control","top","ARM","2",4.132288872272
"331","control","top","EIA","1",4.14998015327154
"332","control","top","EIA","2",3.1385183056723
"333","strips","top","RHO","1",4.87626231982678
"334","strips","top","RHO","2",2.85308852793886
"335","strips","top","WHI","1",6.32723330779875
"336","strips","top","WHI","2",4.72958038363088
"337","control","bottom","ARM","1",4.2527258570411
"338","control","bottom","ARM","2",4.74728821724386
"339","control","bottom","EIA","1",4.81142690999299
"340","control","bottom","EIA","2",2.72858978968526
"341","strips","bottom","RHO","1",5.30889189238604
"342","strips","bottom","RHO","2",3.64299508632017
"343","strips","bottom","WHI","1",3.71380639250685
"344","strips","bottom","WHI","2",3.66221794595918
"345","control","middle","ARM","1",4.13395424302046
"346","control","middle","ARM","2",4.50013024301696
"347","control","middle","EIA","1",5.14983417049965
"348","control","middle","EIA","2",5.58718559226098
"349","strips","middle","RHO","1",4.5116586678005
"350","strips","middle","RHO","2",4.05932271145849
"351","strips","middle","WHI","1",4.762011131155
"352","strips","middle","WHI","2",5.22238859271611
"353","control","top","ARM","1",5.35145435500714
"354","control","top","ARM","2",5.10499347424953
"355","control","top","EIA","1",7.19389067856959
"356","control","top","EIA","2",5.02958512354843
"357","strips","top","RHO","1",5.50137592423231
"358","strips","top","RHO","2",5.29933998160397
"359","strips","top","WHI","1",3.49131318241361
"360","strips","top","WHI","2",3.93673716165146
"361","control","bottom","ARM","1",7.33005899452403
"362","control","bottom","ARM","2",5.57324145518429
"363","control","bottom","EIA","1",5.26979355480109
"364","control","bottom","EIA","2",4.66855840850168
"365","strips","bottom","RHO","1",4.13412663295874
"366","strips","bottom","RHO","2",4.49684552263916
"367","strips","bottom","WHI","1",5.06303372525253
"368","strips","bottom","WHI","2",6.14710828840568
"369","control","middle","ARM","1",4.5732605642481
"370","control","middle","ARM","2",6.75239949462623
"371","control","middle","EIA","1",3.90369334115642
"372","control","middle","EIA","2",4.54388526483822
"373","strips","middle","RHO","1",3.28311845574889
"374","strips","middle","RHO","2",4.74782401979975
"375","strips","middle","WHI","1",5.78263751099531
"376","strips","middle","WHI","2",5.4317944149066
"377","control","top","ARM","1",5.77898517257106
"378","control","top","ARM","2",4.93204213950949
"379","control","top","EIA","1",3.22116013069668
"380","control","top","EIA","2",4.13110521867717
"381","strips","top","RHO","1",3.57559811641897
"382","strips","top","RHO","2",4.88311050384635
"383","strips","top","WHI","1",4.57217847231465
"384","strips","top","WHI","2",6.33733127596507
"385","control","bottom","ARM","1",2.92059586200875
"386","control","bottom","ARM","2",8.10287632973392
"387","control","bottom","EIA","1",3.50794006505447
"388","control","bottom","EIA","2",4.40379962750204
"389","strips","bottom","RHO","1",5.45172573946772
"390","strips","bottom","RHO","2",4.92883227923018
"391","strips","bottom","WHI","1",4.24159494140635
"392","strips","bottom","WHI","2",6.84753954635831
"393","control","middle","ARM","1",5.03174198411107
"394","control","middle","ARM","2",2.66383993431741
"395","control","middle","EIA","1",3.80102759700957
"396","control","middle","EIA","2",4.02282189219631
"397","strips","middle","RHO","1",4.23923400918035
"398","strips","middle","RHO","2",5.9610711258415
"399","strips","middle","WHI","1",4.43758425746737
"400","strips","middle","WHI","2",4.64437123864584
"401","control","top","ARM","1",7.41982607415146
"402","control","top","ARM","2",4.59424009236724
"403","control","top","EIA","1",3.74536298239192
"404","control","top","EIA","2",3.59922351630964
"405","strips","top","RHO","1",3.99411137123684
"406","strips","top","RHO","2",6.36792141044009
"407","strips","top","WHI","1",5.71307891778891
"408","strips","top","WHI","2",3.6460810620749
"409","control","bottom","ARM","1",5.19882047155199
"410","control","bottom","ARM","2",5.8674971359902
"411","control","bottom","EIA","1",4.86158898597247
"412","control","bottom","EIA","2",5.31031100629636
"413","strips","bottom","RHO","1",5.39117411902313
"414","strips","bottom","RHO","2",4.71864183338518
"415","strips","bottom","WHI","1",4.86494448785208
"416","strips","bottom","WHI","2",5.63537820200096
"417","control","middle","ARM","1",5.27643216710499
"418","control","middle","ARM","2",5.20178022864732
"419","control","middle","EIA","1",5.67980759798043
"420","control","middle","EIA","2",2.7743045815769
"421","strips","middle","RHO","1",3.70768610662732
"422","strips","middle","RHO","2",2.80494892866813
"423","strips","middle","WHI","1",4.30248165347548
"424","strips","middle","WHI","2",4.77716367778289
"425","control","top","ARM","1",4.65734307021501
"426","control","top","ARM","2",4.26687476426072
"427","control","top","EIA","1",5.52448967757812
"428","control","top","EIA","2",4.43296929353069
"429","strips","top","RHO","1",4.35003581342402
"430","strips","top","RHO","2",5.81015777198631
"431","strips","top","WHI","1",6.38322328994307
"432","strips","top","WHI","2",2.50801128306226
"433","control","bottom","ARM","1",6.6862615509078
"434","control","bottom","ARM","2",5.20157409406358
"435","control","bottom","EIA","1",4.52163819353624
"436","control","bottom","EIA","2",5.17401404803128
"437","strips","bottom","RHO","1",6.03823787961098
"438","strips","bottom","RHO","2",1.68949123061569
"439","strips","bottom","WHI","1",4.96965532374216
"440","strips","bottom","WHI","2",4.49234677684567
"441","control","middle","ARM","1",5.31346474430823
"442","control","middle","ARM","2",1.71295369578086
"443","control","middle","EIA","1",3.53907930544856
"444","control","middle","EIA","2",5.58265403219062
"445","strips","middle","RHO","1",5.78592147707389
"446","strips","middle","RHO","2",5.29304594921055
"447","strips","middle","WHI","1",4.58111206673295
"448","strips","middle","WHI","2",4.54042349682721
"449","control","top","ARM","1",4.91504930711114
"450","control","top","ARM","2",4.12750644186897
"451","control","top","EIA","1",4.72953515647254
"452","control","top","EIA","2",4.00177855827492
"453","strips","top","RHO","1",4.72177887241926
"454","strips","top","RHO","2",4.89094273573555
"455","strips","top","WHI","1",2.81112581851619
"456","strips","top","WHI","2",3.97253982751158
"457","control","bottom","ARM","1",5.76996641736638
"458","control","bottom","ARM","2",6.33308048591051
"459","control","bottom","EIA","1",4.14910656725589
"460","control","bottom","EIA","2",4.90511047972155
"461","strips","bottom","RHO","1",3.4894294270497
"462","strips","bottom","RHO","2",4.31502067909395
"463","strips","bottom","WHI","1",4.24788090701327
"464","strips","bottom","WHI","2",2.9371786047666
"465","control","middle","ARM","1",5.95969349575928
"466","control","middle","ARM","2",3.17925952244408
"467","control","middle","EIA","1",5.77182852428761
"468","control","middle","EIA","2",4.89688248348617
"469","strips","middle","RHO","1",4.93095860509786
"470","strips","middle","RHO","2",3.95432871076557
"471","strips","middle","WHI","1",7.37297742826877
"472","strips","middle","WHI","2",6.32513107728342
"473","control","top","ARM","1",5.69877932924451
"474","control","top","ARM","2",4.61110459421134
"475","control","top","EIA","1",5.09999124572929
"476","control","top","EIA","2",4.9705720387721
"477","strips","top","RHO","1",3.61428569768282
"478","strips","top","RHO","2",4.42214944429261
"479","strips","top","WHI","1",3.42465859105893
"480","strips","top","WHI","2",5.0514908395339
